Date,Adj Close,Close,High,Low
15/07/2021,181.560,181.560,184.770,181.046
16/07/2021,178.682,178.682,182.303,178.523
19/07/2021,177.480,177.480,177.510,174.958
20/07/2021,178.660,178.660,179.600,175.900
21/07/2021,179.260,179.260,179.322,177.182
22/07/2021,181.902,181.902,182.001,179.113
23/07/2021,182.832,182.832,183.305,181.102
26/07/2021,184.991,184.991,185.604,182.363
27/07/2021,181.320,181.320,184.925,179.307
28/07/2021,181.516,181.516,182.921,180.050
29/07/2021,179.996,179.996,181.898,179.001
30/07/2021,166.380,166.380,168.407,165.349
02/08/2021,166.574,166.574,167.946,165.850
03/08/2021,168.312,168.312,169.550,164.988
04/08/2021,167.736,167.736,169.444,167.278
05/08/2021,168.799,168.799,169.450,167.046
06/08/2021,167.247,167.247,168.750,166.452
09/08/2021,167.094,167.094,167.744,166.426
10/08/2021,166.034,166.034,167.900,165.750
11/08/2021,164.605,164.605,166.885,163.889
12/08/2021,165.175,165.175,165.725,163.484
13/08/2021,164.699,164.699,165.303,164.150
16/08/2021,164.949,164.949,165.000,160.557
17/08/2021,162.098,162.098,164.025,161.284
18/08/2021,160.061,160.061,162.705,160.000
19/08/2021,159.387,159.387,161.650,159.123
20/08/2021,159.997,159.997,160.391,158.788
23/08/2021,163.294,163.294,164.045,160.501
24/08/2021,165.289,165.289,165.775,163.729
25/08/2021,164.959,164.959,166.050,164.307
26/08/2021,165.800,165.800,166.600,164.800
27/08/2021,167.482,167.482,167.616,165.688
30/08/2021,171.079,171.079,172.250,167.761
31/08/2021,173.540,173.540,173.629,169.779
01/09/2021,173.950,173.950,176.350,173.762
02/09/2021,173.156,173.156,175.598,172.750
03/09/2021,173.902,173.902,174.133,171.822
07/09/2021,175.464,175.464,176.404,173.847
08/09/2021,176.275,176.275,177.281,174.783
09/09/2021,174.208,174.208,177.499,174.018
10/09/2021,173.458,173.458,175.423,173.145
13/09/2021,172.859,172.859,174.898,171.900
14/09/2021,172.500,172.500,174.340,171.885
15/09/2021,173.790,173.790,174.271,170.100
16/09/2021,174.412,174.412,174.628,172.307
17/09/2021,173.126,173.126,174.870,172.607
20/09/2021,167.786,167.786,170.950,165.251
21/09/2021,167.182,167.182,168.985,166.620
22/09/2021,169.003,169.003,169.450,167.053
23/09/2021,170.800,170.800,171.448,169.003
24/09/2021,171.276,171.276,171.463,169.670
27/09/2021,170.290,170.290,170.779,166.980
28/09/2021,165.798,165.798,168.460,164.505
29/09/2021,165.056,165.056,167.565,164.893
30/09/2021,164.252,164.252,166.393,163.699
01/10/2021,164.163,164.163,165.458,162.797
04/10/2021,159.489,159.489,163.999,158.813
05/10/2021,161.050,161.050,163.036,160.123
06/10/2021,163.100,163.100,163.217,159.931
07/10/2021,165.122,165.122,166.288,164.153
08/10/2021,164.431,164.431,166.072,164.410
11/10/2021,162.315,162.315,164.630,161.905
12/10/2021,162.367,162.367,163.376,161.814
13/10/2021,164.214,164.214,164.419,163.055
14/10/2021,164.993,164.993,165.630,164.539
15/10/2021,170.451,170.451,170.521,165.200
18/10/2021,172.337,172.337,172.458,169.255
19/10/2021,172.208,172.208,172.734,171.100
20/10/2021,170.753,170.753,173.143,170.018
21/10/2021,171.751,171.751,172.014,170.150
22/10/2021,166.777,166.777,171.492,166.565
25/10/2021,166.018,166.018,167.390,164.885
26/10/2021,168.803,168.803,170.806,167.199
27/10/2021,169.624,169.624,171.850,168.572
28/10/2021,172.329,172.329,173.950,169.300
29/10/2021,168.622,168.622,168.741,163.666
01/11/2021,165.906,165.906,168.793,164.601
02/11/2021,165.637,165.637,166.556,164.178
03/11/2021,169.200,169.200,169.746,164.876
04/11/2021,173.850,173.850,174.932,168.250
05/11/2021,175.949,175.949,178.313,173.849
08/11/2021,174.449,174.449,178.950,174.393
09/11/2021,178.811,178.811,179.689,175.072
10/11/2021,174.102,174.102,180.273,173.154
11/11/2021,173.625,173.625,177.162,173.374
12/11/2021,176.258,176.258,177.036,172.352
15/11/2021,177.284,177.284,179.694,176.290
16/11/2021,177.035,177.035,178.825,176.258
17/11/2021,177.450,177.450,179.363,177.268
18/11/2021,184.803,184.803,185.210,178.050
19/11/2021,183.829,183.829,188.107,183.786
22/11/2021,178.628,178.628,185.673,178.375
23/11/2021,179.002,179.002,181.053,176.385
24/11/2021,179.020,179.020,180.682,176.842
26/11/2021,175.228,175.228,181.675,175.208
29/11/2021,178.079,178.079,179.800,176.575
30/11/2021,175.354,175.354,179.288,174.600
01/12/2021,172.186,172.186,177.994,172.080
02/12/2021,171.868,171.868,174.635,171.188
03/12/2021,169.490,169.490,173.493,166.930
06/12/2021,171.368,171.368,173.695,166.934
07/12/2021,176.165,176.165,177.499,173.335
08/12/2021,176.158,176.158,177.180,174.751
09/12/2021,174.171,174.171,176.969,174.139
10/12/2021,172.212,172.212,175.927,170.500
13/12/2021,169.568,169.568,172.100,169.130
14/12/2021,169.092,169.092,169.499,166.440
15/12/2021,173.315,173.315,173.600,165.195
16/12/2021,168.871,168.871,174.166,168.161
17/12/2021,170.018,170.018,170.898,165.613
20/12/2021,167.079,167.079,167.874,165.600
21/12/2021,170.417,170.417,170.717,165.648
22/12/2021,171.037,171.037,172.050,168.501
23/12/2021,171.068,171.068,171.975,170.150
27/12/2021,169.669,169.669,172.943,169.215
28/12/2021,170.661,170.661,172.176,169.135
29/12/2021,169.201,169.201,171.212,168.600
30/12/2021,168.645,168.645,170.888,168.524
31/12/2021,166.717,166.717,169.350,166.559
03/01/2022,170.404,170.404,170.704,166.161
04/01/2022,167.522,167.522,171.400,166.350
05/01/2022,164.357,164.357,167.126,164.357
06/01/2022,163.254,163.254,164.800,161.937
07/01/2022,162.554,162.554,165.243,162.031
10/01/2022,161.486,161.486,161.661,156.305
11/01/2022,165.362,165.362,166.350,160.702
12/01/2022,165.207,165.207,166.878,164.417
13/01/2022,161.214,161.214,166.221,161.091
14/01/2022,162.138,162.138,162.250,159.801
18/01/2022,158.917,158.917,159.734,157.665
19/01/2022,156.299,156.299,159.250,156.250
20/01/2022,151.667,151.667,158.000,151.351
21/01/2022,142.643,142.643,150.900,142.070
24/01/2022,144.544,144.544,144.945,135.352
25/01/2022,139.986,139.986,143.600,138.145
26/01/2022,138.872,138.872,145.185,137.318
27/01/2022,139.637,139.637,144.243,139.350
28/01/2022,143.978,143.978,143.998,137.930
31/01/2022,149.574,149.574,150.361,144.301
01/02/2022,151.193,151.193,151.708,147.628
02/02/2022,150.613,150.613,155.075,148.863
03/02/2022,138.846,138.846,144.247,138.333
04/02/2022,157.639,157.639,161.200,150.608
07/02/2022,157.936,157.936,162.691,157.250
08/02/2022,161.413,161.413,161.792,155.551
09/02/2022,161.189,161.189,163.835,160.250
10/02/2022,159.003,159.003,160.717,157.750
11/02/2022,153.294,153.294,159.000,152.734
14/02/2022,155.167,155.167,158.449,151.650
15/02/2022,156.510,156.510,158.007,154.637
16/02/2022,158.100,158.100,158.834,154.734
17/02/2022,154.652,154.652,160.349,154.500
18/02/2022,152.602,152.602,155.499,150.893
22/02/2022,150.197,150.197,152.982,148.486
23/02/2022,144.827,144.827,151.763,144.651
24/02/2022,151.358,151.358,151.749,139.500
25/02/2022,153.788,153.788,153.990,149.214
28/02/2022,153.563,153.563,154.450,150.850
01/03/2022,151.142,151.142,154.099,149.977
02/03/2022,152.053,152.053,152.999,148.750
03/03/2022,147.898,147.898,153.929,146.856
04/03/2022,145.641,145.641,147.850,143.807
07/03/2022,137.453,137.453,146.094,137.417
08/03/2022,136.014,136.014,140.699,133.572
09/03/2022,139.279,139.279,140.250,136.828
10/03/2022,146.818,146.818,148.674,143.978
11/03/2022,145.525,145.525,149.675,145.369
14/03/2022,141.853,141.853,147.450,140.884
15/03/2022,147.367,147.367,147.985,142.000
16/03/2022,153.104,153.104,153.150,147.354
17/03/2022,157.239,157.239,157.499,152.140
18/03/2022,161.251,161.251,161.594,156.011
21/03/2022,161.492,161.492,163.084,159.553
22/03/2022,164.889,164.889,166.167,161.699
23/03/2022,163.408,163.408,166.370,162.687
24/03/2022,163.650,163.650,164.118,160.050
25/03/2022,164.773,164.773,165.368,162.250
28/03/2022,168.990,168.990,169.038,164.900
29/03/2022,169.315,169.315,170.831,167.868
30/03/2022,166.301,166.301,168.951,165.500
31/03/2022,162.997,162.997,166.495,162.954
01/04/2022,163.560,163.560,165.827,162.320
04/04/2022,168.346,168.346,168.395,163.206
05/04/2022,164.055,164.055,168.111,163.266
06/04/2022,158.756,158.756,162.200,157.255
07/04/2022,157.785,157.785,160.079,154.512
08/04/2022,154.460,154.460,157.368,154.231
11/04/2022,151.122,151.122,154.137,150.535
12/04/2022,150.788,150.788,155.099,150.383
13/04/2022,155.541,155.541,156.025,149.600
14/04/2022,151.706,151.706,155.897,151.472
18/04/2022,152.785,152.785,154.040,150.251
19/04/2022,158.115,158.115,158.649,151.551
20/04/2022,153.998,153.998,157.602,153.604
21/04/2022,148.296,148.296,156.738,147.589
22/04/2022,144.350,144.350,149.615,143.697
25/04/2022,146.074,146.074,146.221,142.307
26/04/2022,139.391,139.391,144.856,138.930
27/04/2022,138.167,138.167,141.949,135.783
28/04/2022,144.596,144.596,145.938,140.300
29/04/2022,124.282,124.282,130.761,121.625
02/05/2022,124.500,124.500,124.668,118.375
03/05/2022,124.254,124.254,126.220,122.825
04/05/2022,125.928,125.928,126.000,119.183
05/05/2022,116.407,116.407,123.499,115.073
06/05/2022,114.772,114.772,119.050,113.081
09/05/2022,108.789,108.789,114.000,107.957
10/05/2022,108.859,108.859,112.643,107.171
11/05/2022,105.372,105.372,110.156,104.428
12/05/2022,106.930,106.930,110.781,102.406
13/05/2022,113.055,113.055,113.184,107.800
16/05/2022,110.811,110.811,113.993,110.354
17/05/2022,115.368,115.368,115.800,111.276
18/05/2022,107.113,107.113,112.853,106.249
19/05/2022,107.319,107.319,110.034,106.193
20/05/2022,107.591,107.591,109.898,105.009
23/05/2022,107.557,107.557,108.819,103.950
24/05/2022,104.100,104.100,105.400,101.260
25/05/2022,106.775,106.775,108.175,103.650
26/05/2022,111.077,111.077,112.665,107.453
27/05/2022,115.146,115.146,115.187,112.628
31/05/2022,120.210,120.210,121.994,115.675
01/06/2022,121.684,121.684,125.179,120.622
02/06/2022,125.511,125.511,125.610,120.045
03/06/2022,122.350,122.350,124.400,121.047
06/06/2022,124.790,124.790,128.990,123.810
07/06/2022,123.000,123.000,124.100,120.630
08/06/2022,121.180,121.180,123.750,120.750
09/06/2022,116.150,116.150,121.300,116.100
10/06/2022,109.650,109.650,114.500,109.050
13/06/2022,103.670,103.670,106.540,101.860
14/06/2022,102.310,102.310,104.880,101.430
15/06/2022,107.670,107.670,109.060,103.530
16/06/2022,103.660,103.660,104.580,102.010
17/06/2022,106.220,106.220,106.980,102.510
21/06/2022,108.680,108.680,111.630,103.560
22/06/2022,108.950,108.950,112.130,107.020
23/06/2022,112.440,112.440,113.000,107.930
24/06/2022,116.460,116.460,116.710,111.430
27/06/2022,113.220,113.220,117.980,112.700
28/06/2022,107.400,107.400,114.850,107.040
29/06/2022,108.920,108.920,110.990,106.910
30/06/2022,106.210,106.210,108.180,102.520
01/07/2022,109.560,109.560,109.750,105.850
05/07/2022,113.500,113.500,114.080,106.320
06/07/2022,114.330,114.330,115.480,112.010
07/07/2022,116.330,116.330,116.990,113.490
08/07/2022,115.540,115.540,116.580,113.690
11/07/2022,111.750,111.750,114.300,110.870
12/07/2022,109.220,109.220,113.230,108.340
13/07/2022,110.400,110.400,111.780,106.010
14/07/2022,110.630,110.630,111.180,107.580
15/07/2022,113.550,113.550,115.590,111.590
18/07/2022,113.760,113.760,117.240,113.150
19/07/2022,118.210,118.210,118.950,114.030
20/07/2022,122.770,122.770,123.480,118.320
21/07/2022,124.630,124.630,124.850,121.260
22/07/2022,122.420,122.420,125.500,121.350
25/07/2022,121.140,121.140,123.640,120.030
26/07/2022,114.810,114.810,118.150,114.530
27/07/2022,120.970,120.970,121.900,117.160
28/07/2022,122.280,122.280,122.840,118.080
29/07/2022,134.950,134.950,137.650,132.410
01/08/2022,135.390,135.390,138.830,133.510
02/08/2022,134.160,134.160,137.440,134.090
03/08/2022,139.520,139.520,140.490,136.050
04/08/2022,142.570,142.570,143.560,139.550
05/08/2022,140.800,140.800,142.860,139.600
08/08/2022,139.410,139.410,144.230,138.290
09/08/2022,137.830,137.830,138.950,136.210
10/08/2022,142.690,142.690,144.600,141.010
11/08/2022,140.640,140.640,144.490,139.760
12/08/2022,143.550,143.550,143.570,140.120
15/08/2022,143.180,143.180,143.760,141.490
16/08/2022,144.780,144.780,146.570,142.000
17/08/2022,142.100,142.100,143.380,140.780
18/08/2022,142.300,142.300,142.770,140.380
19/08/2022,138.230,138.230,141.110,137.910
22/08/2022,133.220,133.220,136.320,132.850
23/08/2022,133.620,133.620,134.990,132.950
24/08/2022,133.800,133.800,135.470,132.100
25/08/2022,137.280,137.280,137.420,134.280
26/08/2022,130.750,130.750,137.830,130.500
29/08/2022,129.790,129.790,131.950,128.770
30/08/2022,128.730,128.730,132.070,126.850
31/08/2022,126.770,126.770,130.590,126.740
01/09/2022,127.820,127.820,128.020,123.660
02/09/2022,127.510,127.510,131.380,126.390
06/09/2022,126.110,126.110,128.620,124.740
07/09/2022,129.480,129.480,129.820,125.400
08/09/2022,129.820,129.820,130.280,127.100
09/09/2022,133.270,133.270,133.690,130.760
12/09/2022,136.450,136.450,136.490,134.000
13/09/2022,126.820,126.820,131.400,126.270
14/09/2022,128.550,128.550,128.840,126.330
15/09/2022,126.280,126.280,130.370,125.500
16/09/2022,123.530,123.530,123.870,120.700
19/09/2022,124.660,124.660,124.710,121.800
20/09/2022,122.190,122.190,124.400,121.140
21/09/2022,118.540,118.540,123.760,118.450
22/09/2022,117.310,117.310,118.790,116.260
23/09/2022,113.780,113.780,116.050,112.060
26/09/2022,115.150,115.150,117.340,113.130
27/09/2022,114.410,114.410,118.320,113.050
28/09/2022,118.010,118.010,118.700,113.800
29/09/2022,114.800,114.800,116.070,113.060
30/09/2022,113.000,113.000,116.920,112.840
03/10/2022,115.880,115.880,116.910,112.450
04/10/2022,121.090,121.090,123.000,119.790
05/10/2022,120.950,120.950,121.750,117.690
06/10/2022,120.300,120.300,121.530,119.500
07/10/2022,114.560,114.560,118.170,113.880
10/10/2022,113.670,113.670,116.250,112.430
11/10/2022,112.210,112.210,115.480,110.390
12/10/2022,112.900,112.900,113.830,111.400
13/10/2022,112.530,112.530,113.440,105.350
14/10/2022,106.900,106.900,114.960,106.600
17/10/2022,113.790,113.790,114.190,110.090
18/10/2022,116.360,116.360,119.520,114.790
19/10/2022,115.070,115.070,116.590,113.220
20/10/2022,115.250,115.250,118.240,113.510
21/10/2022,119.320,119.320,119.590,114.500
24/10/2022,119.820,119.820,120.390,116.570
25/10/2022,120.600,120.600,121.320,118.950
26/10/2022,115.660,115.660,119.350,114.760
27/10/2022,110.960,110.960,114.120,109.770
28/10/2022,103.410,103.410,103.960,97.660
31/10/2022,102.440,102.440,104.870,100.740
01/11/2022,96.790,96.790,104.580,96.060
02/11/2022,92.120,92.120,97.740,92.010
03/11/2022,89.300,89.300,93.500,89.020
04/11/2022,90.980,90.980,92.440,88.040
07/11/2022,90.530,90.530,92.100,89.040
08/11/2022,89.980,89.980,91.720,88.230
09/11/2022,86.140,86.140,89.480,85.870
10/11/2022,96.630,96.630,98.690,91.650
11/11/2022,100.790,100.790,101.190,96.660
14/11/2022,98.490,98.490,100.120,97.290
15/11/2022,98.940,98.940,103.790,97.340
16/11/2022,97.120,97.120,98.490,95.540
17/11/2022,94.850,94.850,96.970,94.030
18/11/2022,94.140,94.140,95.990,92.480
21/11/2022,92.460,92.460,95.020,90.590
22/11/2022,93.200,93.200,93.350,90.870
23/11/2022,94.130,94.130,94.580,92.830
25/11/2022,93.410,93.410,94.430,93.070
28/11/2022,93.950,93.950,96.400,93.430
29/11/2022,92.420,92.420,94.410,91.440
30/11/2022,96.540,96.540,96.540,91.530
01/12/2022,95.500,95.500,97.230,94.920
02/12/2022,94.130,94.130,95.360,93.780
05/12/2022,91.010,91.010,94.060,90.820
06/12/2022,88.250,88.250,91.040,87.900
07/12/2022,88.460,88.460,89.890,87.480
08/12/2022,90.350,90.350,90.860,87.880
09/12/2022,89.090,89.090,90.300,88.630
12/12/2022,90.550,90.550,90.580,87.870
13/12/2022,92.490,92.490,96.250,90.520
14/12/2022,91.580,91.580,93.460,89.870
15/12/2022,88.450,88.450,89.970,87.470
16/12/2022,87.860,87.860,89.350,86.730
19/12/2022,84.920,84.920,87.630,84.510
20/12/2022,85.190,85.190,86.610,84.330
21/12/2022,86.770,86.770,87.230,85.210
22/12/2022,83.790,83.790,85.680,82.250
23/12/2022,85.250,85.250,85.780,82.930
27/12/2022,83.040,83.040,85.350,83.000
28/12/2022,81.820,81.820,83.480,81.690
29/12/2022,84.180,84.180,84.550,82.550
30/12/2022,84.000,84.000,84.050,82.470
03/01/2023,85.820,85.820,86.960,84.210
04/01/2023,85.140,85.140,86.980,83.360
05/01/2023,83.120,83.120,85.420,83.070
06/01/2023,86.080,86.080,86.400,81.430
09/01/2023,87.360,87.360,89.480,87.080
10/01/2023,89.870,89.870,90.190,87.290
11/01/2023,95.090,95.090,95.260,90.930
12/01/2023,95.270,95.270,97.190,93.500
13/01/2023,98.120,98.120,98.370,94.120
17/01/2023,96.050,96.050,98.890,95.730
18/01/2023,95.460,95.460,99.320,95.380
19/01/2023,93.680,93.680,95.440,92.860
20/01/2023,97.250,97.250,97.350,93.200
23/01/2023,97.520,97.520,97.780,95.860
24/01/2023,96.320,96.320,98.090,96.000
25/01/2023,97.180,97.180,97.240,91.520
26/01/2023,99.220,99.220,99.490,96.920
27/01/2023,102.240,102.240,103.490,99.530
30/01/2023,100.550,100.550,101.740,99.010
31/01/2023,103.130,103.130,103.350,101.140
01/02/2023,105.150,105.150,106.240,101.240
02/02/2023,112.910,112.910,114.000,108.880
03/02/2023,103.390,103.390,108.780,102.520
06/02/2023,102.180,102.180,103.950,100.650
07/02/2023,102.110,102.110,102.410,98.080
08/02/2023,100.050,100.050,102.670,98.780
09/02/2023,98.240,98.240,101.780,97.570
10/02/2023,97.610,97.610,98.820,96.230
13/02/2023,99.540,99.540,99.680,96.910
14/02/2023,99.700,99.700,100.920,97.520
15/02/2023,101.160,101.160,101.170,98.450
16/02/2023,98.150,98.150,100.630,98.100
17/02/2023,97.200,97.200,97.940,95.650
21/02/2023,94.580,94.580,95.610,94.270
22/02/2023,95.790,95.790,97.010,94.800
23/02/2023,95.820,95.820,96.430,93.670
24/02/2023,93.500,93.500,94.140,92.320
27/02/2023,93.760,93.760,94.780,93.140
28/02/2023,94.230,94.230,94.690,92.920
01/03/2023,92.170,92.170,94.680,91.590
02/03/2023,92.130,92.130,92.230,90.390
03/03/2023,94.900,94.900,94.940,92.660
06/03/2023,93.750,93.750,96.550,93.740
07/03/2023,93.550,93.550,95.090,92.780
08/03/2023,93.920,93.920,94.170,92.180
09/03/2023,92.250,92.250,96.210,92.180
10/03/2023,90.730,90.730,93.570,90.250
13/03/2023,92.430,92.430,94.020,88.120
14/03/2023,94.880,94.880,95.070,92.710
15/03/2023,96.200,96.200,96.670,93.070
16/03/2023,100.040,100.040,100.990,95.610
